年月,价格区间,发布套数,发布面积,成交套数,成交面积
2026-03,60万以下,0,0.0,4194,231788.06
2026-03,60～90万,0,0.0,1950,136185.0
2026-03,90～120万,0,0.0,2703,201587.31
2026-03,120～150万,0,0.0,2375,181691.88
2026-03,150～200万,0,0.0,3312,270811.81
2026-03,200万以上,0,698334.42,7288,818182.1
2026-04,60万以下,0,0.0,3972,226336.5
2026-04,60～90万,0,0.0,1946,137314.1
2026-04,90～120万,0,0.0,2400,178483.85
2026-04,120～150万,0,0.0,2092,163628.41
2026-04,150～200万,0,0.0,2908,241995.68
2026-04,200万以上,0,619060.92,6466,749087.08
2026-05,60万以下,0,0.0,3747,208931.2
2026-05,60～90万,0,0.0,1595,110435.42
2026-05,90～120万,0,0.0,2107,156479.9
2026-05,120～150万,0,0.0,1788,138493.84
2026-05,150～200万,0,0.0,2554,215393.38
2026-05,200万以上,0,497173.49,6081,715666.32
2026-06,60万以下,0,0.0,3841,207584.71
2026-06,60～90万,0,0.0,1666,119111.81
2026-06,90～120万,0,0.0,2137,159322.71
2026-06,120～150万,0,0.0,1852,142908.15
2026-06,150～200万,0,0.0,2725,231730.78
2026-06,200万以上,1,605856.51,6536,778799.24
